description,abbreviation,translation
С/х угодье на юг от деревни в 300 м.,м.,метров
"С/х угодье на западном берегу Обозера, к северу от деревни в 700 м.",м.,метров
"С/х угодье в центре о. Волкостров под дер. Сергачево, на высоком месте.",о.,остров
"С/х угодье в сев. части о. Керкостров, на узком длинном мысу.",о.,остров
"С/х поляна, где собирают землянику, в 700 м. а с/з от дер.",м.,метров
С/х поляна за деревенскими полями к югу в 100 м.,м.,метров
"Ручей/речка (самое нижнее течение р. Кумжа), вытекает из Ривинского озера и впадает в Белое море.",р.,река
Ручей/река в окрестностях с. Кукшегоры.,с.,село
"Ручей, течет с оз. Черное в р. Черная.",р.,река
"Ручей, течет из д. Лобеги в руч. Сельгоручей. По словам информатора, около этого ручья муж убил свою жену, которую звали Груней. Ручей д. Лобеги, по дороге к д. Ранина Гора.",д.,деревня
"Ручей, течет из болота Большое в Онежское озеро, шириной 10 м.",м.,метров
"ручей, приток р. Tihverinjogi, вытекает из болот, левый приток р. Тулокса",р.,река
"ручей, приток р. Tihverinjogi, вытекает из болот, левый приток р. Тулокса",р.,река
"ручей, приток р. Mägriänjogi близ дер. Päčinhieru? = Päč(č)oja, Päččioja",р.,река
"Ручей, приток р. Черная, впадает в районе урочища Федорчево, выше Карасручья, между р. Виксинда и Карасручьем.",р.,река
"Ручей, приток р. Корба, пересекает дорогу из д. Салмозеро в д. Корбозеро.",д.,деревня
"Ручей, прав. приток р. Водла, впадает ниже с. Кубово.",с.,село
"Ручей, прав. приток р. Водла, впадает ниже п. Кубово и ручья Пихручей.",п.,посёлок
"Ручей, лев. приток. р. Сума, впадает выше д. Сума по ручью - сенокосы.",д.,деревня
"Ручей, лев. приток р. Черная, впадает ниже д. Лобеги.",д.,деревня
"Ручей, вытекает из Щучьего озера и впадает в Белое море. От истока до середины ручья его называют Травяной Ручей, а далее Венюхручей. По большой воде на 300 м. по нему можно подняться на лодке. карта: Большой Венихручей",м.,метров
"Ручей, вытекает из северного конца Ковкозера, течет на восток, впадает в Святуху в 100 м. севернее д. Микково.",м.,метров
"Ручей, вытекает из Палозера и впадет в р. Сумареку.",р.,река
"Ручей, вытекает из бол. Чернореченское ( на зап. от п. Красноборский) со стороны уроч. Красный Бор, впадает в р. Черная (лев. пр.), в уроч. Калья Гора.",п.,посёлок
"Ручей, впадает в р. Нюхча в 1 км. ниже по течению от с. Нюхча",р.,река
Ручей у с. Шокша.,с.,село
"Ручей у с. Шокша, вытекающий из Тедручейского озерка.",с.,село
Ручей у с. Шелтозера. Put'kijas om oja- put'kijoja.,с.,село
Ручей у п. Онежский.,п.,посёлок
Ручей у п. Онежский.,п.,посёлок
"Ручей с левой стороны от покоса Spireinkengä. По течению реки Кемь справа. Ручей, берущий начало из озера Otršoušjärvi. Ручей впадает в реку Кемь км в 25 от поселка по реке. Напротив Ortšoušoja на левом берегу реки стоит железный столб, 70 см, с гербом СССР и датой 1930 г.",г.,год
Ручей по р. Шалице.,р.,река
"Ручей перед д. Мотовка, соединяет оз. Синемукса (Kinelahtend'ärvi) с р. Видлица.",р.,река
Ручей п. Онежский.,п.,посёлок
"Ручей к югу от села Колежма в 3 км, течёт из болота Медвежий мох в море. Ручей, устье которого находится на материке, к ю.-зап. от о. Лопский.",о.,остров
Ручей к северу от д. Кривцы.,д.,деревня
"Ручей в селе Порьягуба, впадает в Белое море. По воспоминаниям бывших порьегубцев, в прежние времена ручей был полноводней, весной сильно разливался, выходя из берегов, и славился обилием форели (И.Б.Циркунов. Порья Губа: опыт историко-социологических исследований // Наука и бизнес на Мурмане - Мурманск, 1998, № 6, с. 60-86).",с.,село
Ручей в районе с. Нюхча. ? ср. Лодручей,с.,село
Ручей в районе с. Нюхча.,с.,село
Ручей в районе д. Мошничье.,д.,деревня
"Ручей в районе д. Лапино впадает в р. Сумареку (незначительный), впадает в Северную губу. (На карте не указан)",р.,река
Ручей в районе д. Койкары.,д.,деревня
Ручей в окрестностях с. Кукшегоры.,с.,село
"Ручей в окрестностях с. Кукшегоры, впадает в р. Тулокса.",р.,река
Ручей в окрестностях с. Георгиевское в междуречье р. Визьма и р. Андога.,с.,село
Ручей в окрестностях с. Георгиевское в междуречье р. Визьма и р. Андога.,с.,село
"Ручей в окрестностях г. Кемь, впадает в Белое море в районе Ревежгоры.",г.,город
"Ручей (басс. р. Водла), берет начало в уроч. Большая поляна, впадает в оз. Гусиное (д. Салмозеро).",р.,река
"Ручей (басс. р. Водла), берет начало в уроч. Большая поляна, впадает в оз. Гусиное (д. Салмозеро).",р.,река
"руч., приток р. Videlend’ogi, исток из болота Vietsuo, протекает через оз. Raudojanlambi близ горы Raudumägi",р.,река
Рукав реки Шуи между левым берегом и о. Солохина луда. Ср. у правого берега Малый Ход.,о.,остров
Родник ровно на середине пути между д. Берёзово и г. Markizenvuara.,г.,город
Родник в районе с. Нюхча. Привязка к карте не является точной.,с.,село
Родник в д. Четчойла,д.,деревня
Рига жителя д. Кашканы.,д.,деревня
"Речка, впадает в Лебяжье озеро в районе д. Коросозеро.",д.,деревня
"Речка в окрестностях дер. Подужемье, впадает в Кемскуб губу Белого моря. Название происходит от того, что река на определенном отрезке протекает сквозь скалистое ущелье (ращелину): se pujottautuu. рус. р. Пуэта",р.,река
"Река, протекающая в 4 км от г. Пудож.",г.,город
"Река, протекающая в 4 км от г. Пудож.",г.,город
"Река, приток оз. Муромское, дл. течения 25 км, от моста в д. Гакугса до оз. Муромское 12 км. Река, вытекает из болот. мест., впадает в Онежское оз. Дл. 35 верст. Сплав. [ЕЭУ 90] Река приток оз. Муромского которое прежде очевидно было одним из заливов Онежского озера а в настоящее время соединяется с ним небольшим протоком называемым рекой Муромкой [Известия общества изучения Олон. губ. 1914 т. III №1-2, с. 2] Река, приток оз. Муромское. Выше д. Гакугса называется Погрека (течет с сев.), кот. образуется в рез-те объединения ручьев Лепручей и Магручей:1 - л.пр. руч. Ранин, на прав. берегу кот. уроч. Ранина Гора 2 - лев. пр. Кашручей, на лев. бер. уроч. Першина Мельница вытекает из бол. Носы - многочисл. мысы на вост. от бол. Носы - бол. Вепсимох по руч. Вепсручей - течет на сев. в р. Черная) -лев. пр. Погреки р. Суя, вытекает южнее бол. Вепсимох, на прав. бер. уроч. Деревенский Нос. -лев. пр. Лухтручей -пр. пр. (ниже д. Гакугса) р. Сара. Река Гакугса протекает через бол. Гакугское и бол. Муромское, впад. в оз. Муромское между бол. Овекша и уроч. Михалевич Нос [ТК]",с.,село
"Река, приток оз. Муромское, дл. течения 25 км, от моста в д. Гакугса до оз. Муромское 12 км. Река, вытекает из болот. мест., впадает в Онежское оз. Дл. 35 верст. Сплав. [ЕЭУ 90] Река приток оз. Муромского которое прежде очевидно было одним из заливов Онежского озера а в настоящее время соединяется с ним небольшим протоком называемым рекой Муромкой [Известия общества изучения Олон. губ. 1914 т. III №1-2, с. 2] Река, приток оз. Муромское. Выше д. Гакугса называется Погрека (течет с сев.), кот. образуется в рез-те объединения ручьев Лепручей и Магручей:1 - л.пр. руч. Ранин, на прав. берегу кот. уроч. Ранина Гора 2 - лев. пр. Кашручей, на лев. бер. уроч. Першина Мельница вытекает из бол. Носы - многочисл. мысы на вост. от бол. Носы - бол. Вепсимох по руч. Вепсручей - течет на сев. в р. Черная) -лев. пр. Погреки р. Суя, вытекает южнее бол. Вепсимох, на прав. бер. уроч. Деревенский Нос. -лев. пр. Лухтручей -пр. пр. (ниже д. Гакугса) р. Сара. Река Гакугса протекает через бол. Гакугское и бол. Муромское, впад. в оз. Муромское между бол. Овекша и уроч. Михалевич Нос [ТК]",с.,село
"Река, нижнее течение р. Дегенс",р.,река
"Река, нижнее течение р. Дегенс",р.,река
"Река, лев. приток р. Водла. Река в 9 км на сев. от д. Кривцы. Река в окрестностях п. Кубово.",п.,посёлок
"Река, вытекающая из озера Среднее и впадающая в озеро Деревенская Ламба, протяженность 600 м.",м.,метров
"Река, вытекает из оз. Кекозеро, впадает в оз. Долгозеро (далее - р. Кедра - оз. Кедрозеро - р. Паланга - р. Колода).",р.,река
"Река, впадает в р. Шолу, ниже р. Сепатки.",р.,река
"Река, впадает в р. Суну под д. Вороново.",д.,деревня
"Река, впадает в р. Нюхча. По берегу были сенокосы жителей с. Нюхча. Один старик рассказывал, что первоначально деревня была при впадении р. Ухты в Нюхчу. Место было холодное, хлеба мерзли, и народ переселился на место современного села.",с.,село
"Река, впадает в оз. Чопшезеро, из которого вытекает р. Чопша Нижняя, лев. пр. р. Вама длина теч. 12 км.",р.,река
"Река, впадает в Белое море. На ее берегу располагается с. Нюхча. Лебеди в настоящее время на реке не гнездятся. Пролетом останавливаются на болоте у горы Бережнуха, которая находится при впадении р. Нюхчи в Белое море. В 1583 году зафиксирована в форме - Нюкча и Нюкса.",р.,река
"Река, впадает в Белое море в г. Кемь.",г.,город
"Река к северо-востоку от дер. Колвица, вытекает из Белого озера и впадает в оз. Тикша и делее в Колвицкое озеро. До 1900 г. колвичане могли ловить рыбу только в Колвицком озере и впадающей в него речке Тикше (Никольский 1927: 155).",г.,год
Река в окрестностях п. Кубово.,п.,посёлок
Река в окрестностях п. Кубово.,п.,посёлок
"Река в 3500 м. к северу от дер., её пересекает дорога в Куйтежу.",м.,метров
"Река в 300 м. к югу от дер., её пересекает дорога в Kondui.",м.,метров
"Река (басс. оз. Муромское), приток р. Гакугса, впадает в 3 км ниже д. Гакугса.",д.,деревня
"расположена на полуострове, на юго-запад от дер. Лахта, напротив о. Элойсварь",о.,остров
"расположена на полуострове, на юго-запад от дер. Лахта, напротив о. Элойсварь",о.,остров
"расположена на полуострове, на юго-запад от дер. Лахта, напротив о. Элойсварь",о.,остров
"Пустошь, принадлежавшая Муромкому монастырю в 1582 г., сена выкашивалось 35 копен.",г.,год
Пудас огибает небольшой заливной остров Pajuluoto. Огибает о. Kuuzisuari.,о.,остров
протекает у г. Коркеакангас,г.,гора
"Просека в районе д. Унежма по имени бригадира лесорубов Аношкина, ее прорубившего.",д.,деревня
Пролив межжду о. Орож-Яма и о. Бол. Климецкий.,о.,остров
Пролив между о. Орловец и мысом Змеиный Нос.,о.,остров
"Пролив между материком и о. Кяместров. На карте - это Подта́йбольская губа́, но эта губа находится южнее.",о.,остров
Прогон для скота около д. Лижма.,д.,деревня
"Прогон д. Vehkei, ведущий на поле Savihoud.",д.,деревня
Прогон в д. Пелдожа.,д.,деревня
"Пристань для лодок в сев. части о. Юргилицкий (оз. Ведлозеро). Вокруг всего острова камни, поэтому, когда сильный ветер, к берегу на лодке не подъехать. А в Reduvalgamo камней нет, поэтому здесь пристань.",о.,остров
"Пристань для лодок в сев. части о. Юргилицкий (оз. Ведлозеро). Вокруг всего острова камни, поэтому, когда сильный ветер, к берегу на лодке не подъехать. А в Reduvalgamo камней нет, поэтому здесь пристань.",о.,остров
"Приметный мыс на восточном берегу губы Куна Онежской губы, западнее о. Маникостров.",о.,остров
"Приметное место. Большой морской буй, принесенный из Белого моря после шторма в начале 1990-х гг. к сев.-вост. побережью о. Мягостров. Частично замыт в береговой песок. Хорошо виден с моря.",о.,остров
"Приметное место. Большой морской буй, принесенный из Белого моря после шторма в начале 1990-х гг. к сев.-вост. побережью о. Мягостров. Частично замыт в береговой песок. Хорошо виден с моря.",о.,остров
Прежнее название п. Калевала. Центр Калевальского (бывш. Ухтинского) р-на.,п.,посёлок
"Предболотье у хребта Сюрьга,место влажное. Здесь собирают ягоды жители с. Нюхча.",с.,село
правый приток р. Топорная,р.,река
правый приток р. Наровож,р.,река
правый приток р. Видлица,р.,река
Поселок в 57 км на вост. от г. Пудож.,г.,город
"Пороги на р. Сумарека, ниже Сомбольского порога. (Нижние - Зяблики - Верхние)",р.,река
"Пороги на р. Водла, выше д. Кривцы.",р.,река
Порог на р. Hirvioja.,р.,река
"Порог на р. Нюхча, состоит из двух перекатов. В этом месте впадает р. Муромручей в р. Нюхча.",р.,река
"Порог на р. Колода, ниже пос. Приречный, ниже устья р. Чорги. Порог на р. Колода, в 25 км от д. Кубовской вверх по реке по преданию, тут жил старик Пенькин/Пенька. У него была жена и дочь, которые гуляли с разбойниками. Тогда Пенька связал их косами и отправил в порог.",д.,деревня
"Порог на р. Кемь, выше порога Мегалда. Длина 200 м., ширина 100 м., глубина до 1.5 м. Это было хорошее нерестилище и, соответственно, рыбное место.",м.,метров
"Порог на р. Кемь, выше порога Мегалда. Длина 200 м., ширина 100 м., глубина до 1.5 м. Это было хорошее нерестилище и, соответственно, рыбное место.",м.,метров
"Порог на р. Водла, ниже о-ва Войбуч, между пор. Песьенец и Подъиваньков.",р.,река
"Порог на р. Водла, между порогами Волчий и Орешек.",р.,река
Порог в р. Ялганда у п. Онежский.,п.,посёлок
Порог в р. Ялганда у п. Онежский.,п.,посёлок
Порог в р. Ялганда у п. Онежский.,п.,посёлок
"Порог в низовьях р. Вама, при впадении реки в р. Водла.",р.,река
"Порог (перекат) на р. Нюхча в 150 м. ниже Морского Порога. Проход для лодок узкий и опасный, между камней. Привязка к карте не является точной. Когда-то деды прокопали спрямляя поворот на р. Нюхча",р.,река
"Поляны, расположенные на северо-западе от д.Вороний Остров в 500 м.",м.,метров
"Поляны, расположенные на северо-западе от д.Вороний Остров в 500 м.",м.,метров
Поляны у п. Онежский.,п.,посёлок
Поляны у п. Онежский.,п.,посёлок
Поляны п. Онежский.,п.,посёлок
Полянка в р-не д. Нижняя Путка.,д.,деревня
"Поляна, расположенная западне д. Усть-Яндома, у дороги из Усть-Яндомы на Сибово, 1.5 км от моста через р. Яндома в сторону Сибово, у Чежгубы Судя по расположению, название связано с тем, что поляна расположена за мостками по дороге, проложенными по низинному сырому месту.",р.,река
"Поляна, расположенная в 1,5 км северо-восточнее д.Вороний Остров, слева от дороги на д.Тамбицы, считая от Вороньего Острова. Поляна к западу от д.Вороний Остров на расстоянии 400 м.",м.,метров
"Поляна у р. Сорма, принадлежала Муромскому монастырю.",р.,река
Поляна у п. Онежский.,п.,посёлок
Поляна у п. Онежский.,п.,посёлок
Поляна у п. Онежский.,п.,посёлок
Поляна у п. Онежский.,п.,посёлок
Поляна у п. Онежский.,п.,посёлок
"Поляна по ручью, текущему с оз. Корчагинское в р. Виксинда, по дороге три мостика через 5-7 м.",м.,метров
"Поляна по дороге из д. Заозерье в д. Лахта, при устье р. Хабанзя. Землянику брали дрова заготовляли",д.,деревня
Поляна п. Онежский.,п.,посёлок
Поляна п. Онежский.,п.,посёлок
Поляна п. Онежский.,п.,посёлок
Поляна п. Онежский.,п.,посёлок
Поляна п. Онежский.,п.,посёлок
Поляна п. Онежский.,п.,посёлок
Поляна п. Онежский.,п.,посёлок
Поляна п. Онежский.,п.,посёлок
Поляна п. Онежский.,п.,посёлок
Поляна п. Онежский.,п.,посёлок
Поляна п. Онежский.,п.,посёлок
Поляна п. Онежский.,п.,посёлок
Поляна около д. Беляева Гора.,д.,деревня
Поляна на юго-востоке от Вороньего Острова в 500 м.,м.,метров
Поляна на юго-востоке д.Поля в 100 м.,м.,метров
Поляна на юго-востоке д.Поля в 100 м.,м.,метров
Поляна на юго-востоке д.Поля в 100 м.,м.,метров
Поляна на юге д.Габнаволок в 40 м.,м.,метров
Поляна на юге д.Габнаволок (Тамбицы) в 20 м.,м.,метров
Поляна на р. Сустрежа (д. Великодворская).,р.,река
"Поляна на левом берегу р. Колоды, против дер. Щаниковой, у одноименного озера.",р.,река
Поляна на восток от Погоста в 200 м.,м.,метров
"Поляна на вост. от д. Сума. Пахотное угодье на прав. берегу р. Сума, по дороге в д. Кубово.",д.,деревня
"Поляна за д. Чуркина Гора, где дорога на Пялозеро. Пахотная поляна у перекрёстка дорог, на север от с. Корбозеро. Дороги в Пялозеро и Тамбичозеро. Крест на Ростанях.",с.,село
Поляна в р-не д. Хашезеро.,д.,деревня
Поляна в 500 м. южнее дер. Новинка.,м.,метров
"Поляна в 500 м. севернее деревни, за Северным полем.",м.,метров
Поляна в 4 км на с/в от п. Онежский.,п.,посёлок
Поляна в 4 км на с/в от п. Онежский.,п.,посёлок
Поля. Храм сгорел в 1984 г.,г.,город
Поля на зап. от д. Гладкино.,д.,деревня
Поля жителей с. Нюхча. Ср. Высокий Бор (Под Высоким).,с.,село
"Поля жителей д. Черново, по другую сторону от Палангоры.",д.,деревня
Поля жителей д. Ушково (здесь сеяли рожь).,д.,деревня
Поля жителей д. Машозеро.,д.,деревня
Поля д. Котчура.,д.,деревня
Поля д. Котчура.,д.,деревня
Поля в окрестностях м. Кали,м.,метров
Полуостров между д.Лахта и д. Гошкила.,д.,деревня
Поле/покос в районе р. Черная.,р.,река
"Поле, расположенное к западу от Задней деревни (Типиницы) на расстоянии 500-700 м., вдоль дороги на север. Название связано с тем, что поле вытянуто вдоль дороги узкой лентой, расширяясь на юге и севере.",м.,метров
"Поле, поляна на юго-западе д.Чёрный Наволок в 50 м., на склоне возвышенности, на которой располагается деревня.",м.,метров
"Поле, находится на юго-востоке д.Задняя (Типиницы), на расстоянии 10 м.",м.,метров
Поле у р. Колоды Ср. Озерное поле,р.,река
Поле у д. Пустоша.,д.,деревня
Поле у д. Заречье.,д.,деревня
Поле у д. Гладкино.,д.,деревня
Поле с. Федоровское.,с.,село
Поле с. Другая Река.,с.,село
Поле расположено на севере д.Поля в 50-70 м.,м.,метров
Поле расположено на севере д.Поля в 50-70 м.,м.,метров
Поле расположено на север д.Кибитка в 200 м.,м.,метров
Поле п. Онежский.,п.,посёлок
Поле п. Онежский.,п.,посёлок
Поле около д. Крестная Гора.,д.,деревня
Поле на юго-восток от деревни в 500 м.,м.,метров
"Поле на юге д.Чёрный Наволок (Тамбицы), в 60 м.",м.,метров
Поле на север д.Габнаволок в 100 м. На этом месте играли в рюхи.,м.,метров
Поле на западе от д.Чёрный Наволок в 200 м.,м.,метров
Поле на западе д.Габнаволок в 200 м.,м.,метров
Поле на зап. от д. Остров.,д.,деревня
"Поле на восточном берегу о. Выгостров, к сев. от деревни.",о.,остров
Поле на востоке от д.Бережной (Типиницы) в 300 м.,м.,метров
Поле на вост. от д. Кулгала.,д.,деревня
Поле к югу от деревни в 500 м.,м.,метров
"Поле к северу от д. Саньки, в 300 м.",м.,метров
"Поле и покос д. Tihoništ, по дороге в д. Mečantaga.",д.,деревня
"Поле и покос д. Tihoništ, по дороге в д. Mečantaga.",д.,деревня
Поле за с. Шуньга.,с.,село
Поле жителей с. Нюхча. Привязка к карте не является точной.,с.,село
Поле жителей с. Нюхча.,с.,село
Поле жителей с. Нюхча.,с.,село
Поле жителей с. Нюхча у Ермовочной Рады,с.,село
Поле жителей с. Нюхча перед г. Игнашиха. Привязка к карте м.б. не совсем точной.,г.,гора
Поле жителей с. Нюхча на г. Игнашиха. Привязка к карте не является точной.,г.,гора
Поле жителей с. Нюхча (фамилия владельцев - Титовы),с.,село
Поле жителей с. Нюхча (фамилия владельцев - Титовы),с.,село
Поле жителей с. Нюхча (фамилия владельцев - Титовы),с.,село
"Поле жителей д. Берёзово, на берегу ручья Iivanoja.",д.,деревня
Поле д. Syrd. Принадлежало попу.,д.,деревня
Поле д. Слободина Гора.,д.,деревня
Поле д. Лобеги.,д.,деревня
"Поле д. Гумарнаволок, мельницы на памяти информатора не было.",д.,деревня
