sentence_id; toponyms_list; nearby_abbreviations 
72; Усть-Яндома, Типиницы, Глубоким Ручьем, Средняя Пихтеревщина;  
73; Сташково Радогощенский с/с;  
74; ;  
75; Горка;  
76; ;  
77; Пожня;  
78; Lidnag'är'v;  
79; Вороний;  
80; Великой губе, Вигово;  
81; Покосы, Марковщины, Мягкую Сельгу, Космозерский с/с;  
82; ;  
83; Саньковский Наволок;  
84; Колпь;  
85; Болото;  
86; Пожня;  
87; Типиницы, Типиницкий залив, Нулица;  
88; Turžin;  
89; Типиницы;  
90; Пахотная полоса;  
91; Озера;  
92; Омут, Иводе;  
93; Ояти;  
94; Кибитка, Никитину;  
95; Чёрный Наволок, Тамбицы;  
96; ТамбицыЮ, Тамбицы;  
97; Раньково, Погост;  
98; Niemenoja;  
99; ;  
100; Koverjärveet, Красный Бор;  
101; Есина, Усть-Яндому, Ушковской губы, Яндомозера, Яндомы;  
102; Сарозеро;  
103; Сяргозеро;  
104; Goroi;  
105; Обельщина;  
106; Поле;  
107; Плоской сельги, Плоская Сельга;  
108; Габнаволок;  
109; S'ägä, Шоле;  
110; Усть-Яндома, Яндомозеро, СРНГ;  
111; Ольеш;  
112; Яндомозера, Холмы, Красный Мох;  
113; Залив оз, Яндомозеро;  
114; Вороньего острова;  
115; Яндома, Типиницы, Усть-Яндомы, Глубокого ручья;  
116; Капшозеро;  
117; Саньки, Черный Наволок;  
118; Саньки, Северным полем, Обод, Северный, Южный Заосек, Заосеком, Боровуха;  
119; Прокушево, Лидь, Berežn;  
120; Иводе;  
121; Каскосельгой, Педасельгой;  
122; Шоле;  
123; Пахотная полоса;  
124; Аксеново;  
125; ;  
126; ;  
127; Типиницы;  
128; Корбозерской речкой;  
129; Лесная река, Полевское;  
130; ;  
131; Поле;  
132; Панкоратово;  
133; Кузница, Саньки;  
134; Романострова;  
135; Kurikjär'v;  
136; Ярбозеро;  
137; ;  
138; Усть-Яндому, Корбозером;  
139; Ладва;  
140; Пожня;  
141; ;  
142; Великой губе, Вигово;  
143; Пускусельга;  
144; Шоле, Мартыновская;  
145; Пускусельга;  
146; остров Большой, Сибово;  
147; ;  
148; Типиницы, Есино;  
149; Кибитка;  
150; Siidjär'v;  
151; ;  
152; Sar'jar'v;  
153; Усть-Яндома, Чежгубу;  
154; Вигово, Коткиламбы;  
155; ;  
156; Сорочья Гора;  
157; Типиниц, Холмы;  
158; ;  
159; ;  
160; Ламба;  
161; Sojär'v;  
162; Кибитка;  
163; ;  
164; Natkug'är'v;  
165; Habišt;  
166; Берег;  
167; Semopuustso, Сташково Радогощенский с/с, Luuzikhaamez;  
168; Виговской губе, Вянчостров, Вигово, Вяниш;  
169; Обельщина;  
170; ;  
171; Яндомозера;  
172; Пелдуши;  
173; Большое озеро, Poudag'ögi, Иводу;  
174; ;  
175; Paloja;  
176; Paloi;  
177; ;  
178; Плавницкой губы, Галай-бором, Мягким бором, Вигово;  
179; Горки;  
180; Загубье, Лельречку, Вигово;  
181; Кибитка;  
182; Soudaljar'v;  
183; Есино, Яндомозера;  
184; Великой губе, Сибово;  
185; Усть-Яндома, Сиг, Малый Сигостров;  
186; Поле;  
187; Яндомозера, Великой Губой;  
188; Наволок;  
189; Немжа;  
190; Sar'jar'v;  
191; Сеппяваарское;  
192; Яндомозеру;  
193; Krutaan'e, Uit, Белое;  
194; Нинисельгское;  
195; Пожня;  
196; Нинисельга;  
197; Габнаволок, Великий Мох;  
198; Поле;  
199; Пустошка, Кузино;  
200; Мартыновское, Лошны;  
201; ;  
202; Типиницы, Гора, Вороний Остров, Типиниц;  
203; Чайгино;  
204; Задней, Типиницы, Ключи;  
205; Пускусельга;  
206; Vihkang'är'v;  
207; S'üd'äin'so, Иводу;  
208; Сенокос, Тамбицы;  
209; Ояти;  
210; Лахта;  
211; T'itasar', S'är'gär'v;  
212; Западная, Восточная Усть-Яндома, Большая поляна;  
213; Каскосельга, Кургилова ручья;  
214; Обод, Саньки;  
215; Лидь, Savoiso, Sur'oja;  
216; Поляна, Углевщина;  
217; Типиницы, Типиницы, Макаровица, Нулица, Большую Каменку, Малую Каменку;  
218; ;  
219; Озера;  
220; Пахотная поляна, Усть-Яндому;  
221; Усть-Яндома, Яндома, ГИА;  
222; ;  
223; Tanaz, Лахта;  
224; ;  
225; Малая Семча, Семча, Нижнее;  
226; Лидь;  
227; Тигвера;  
228; ;  
229; Лесное урочище;  
230; Панкратово;  
231; Aksintanaz;  
232; Койвусельга;  
233; Kiškin, Kiškin;  
234; ;  
235; Покос;  
236; ;  
237; ;  
238; Aksintanaz, Pitks'üud;  
239; Покос, Вигово, Маткозера;  
240; Vandezoja;  
241; Поле за мостом;  
242; Типиницы, Поля;  
243; Поля;  
244; Усть-Яндомы, Яндома, Савиновка, Саньки;  
245; Тигверка;  
246; Иводы;  
247; Усть-Яндома, Яндомы;  
248; Линдома;  
249; Великой губы;  
250; Усть-Яндома, Смолек;  
251; Сарозеро;  
252; Яндозеро;  
253; Есино;  
254; ;  
255; Болото;  
256; ;  
257; Пондалы, Шимозера, Иводы;  
258; Кибитка, Поля;  
259; Сяргозеро Вытегорск;  
260; Яндомозера, Калозера;  
261; Каскосельга, Великую Ниву;  
262; ;  
263; Сибово, Усть-Яндома, Усть-Яндому, Лигойгубы;  
264; Ояти;  
265; Ярбозера, Ярбозера, Выласское, Илосгоре;  
266; Lad'jär'v;  
267; Виговской/Великой губы, Вигово, Липовицы, Пижей;  
268; Вороньего Острова;  
269; ;  
270; Тамбица;  
271; Обушницы;  
272; Большой ручей, Крупень;  
273; Омут;  
274; Sokol;  
275; Gagaroja, Перелесок;  
276; Вигово, Ушкова Моста, Новочисть, Плавники;  
277; Саньки, Усть-Яндома, Конецгубским бором;  
278; Куя;  
279; Подовинниках;  
280; Типиницы, Каменистое место;  
281; Сенокос, Ломовица, Маткозера, Ломовицкий бор;  
282; Вегоруксы, Великую Губу, Вигово, Вегоруксы;  
283; Речевский ручей, Ярбозеро;  
284; Подовинники;  
285; Варежозера;  
286; Иводы;  
287; Tagičjär'v;  
288; Лахта;  
289; Озера;  
290; Горка;  
291; ;  
292; Войлахты, Sur'so, Šalg'ögi;  
293; Gagar'oja, Сидорово;  
294; Озерко;  
295; ;  
296; Поля;  
297; Омут, Шоле, моста Lava;  
298; Сарозеро;  
299; Есино, Корбозеру, Горелая Орга;  
300; ;  
301; Иводе;  
302; Корбозером, Мунозера;  
303; С/х поляна;  
304; Сидорово;  
305; ;  
306; Тигвера;  
307; Замельницкая Поляна;  
308; Озера;  
309; Колбовщина;  
310; Карельских островов, Яндомозеро, Западным, Большим;  
311; Вороний Остров, Тамбицы, Вороньего Острова;  
312; Коргубы;  
313; Сенокос, Лимозеру;  
314; Кемское, Пичемское, Янсора;  
315; Песчаный карьер;  
316; Пахотная полоса;  
317; Габнаволок, Тамбицы;  
318; Natk;  
319; Остров;  
320; Нивы;  
321; Варежскому озеру;  
322; Габнаволок;  
323; Тамбицы, Локречка, Пидасельгу, Тамбиц;  
324; Усть-Яндома;  
325; Нинисельга;  
326; Тимошино, Выласское, Юршинского ручья;  
327; ;  
328; Покос, Кривые Пенья;  
329; Сеппяваара;  
330; Бабим Наволоком;  
331; Aksintanaz;  
332; Сяргозеру, Слобода;  
333; Яндомозера, Щеглову, Ковручей;  
334; ;  
335; ;  
336; Покос, Мартыновское;  
337; Марковщины;  
338; Саньки;  
339; Шолой, Селище;  
340; Лахта;  
341; Гусево, Лейреки, Вигово;  
342; Zmiiso;  
343; Курнейнаволок;  
344; Кемское, Кема, Лухтица;  
345; Поляна;  
346; Болото;  
347; Сарозеро;  
348; Поле;  
349; Иванков, Сибово;  
350; ;  
351; Марковщина, Яндомозеро;  
352; Габнаволок;  
353; Сарозере;  
354; Виговской губы, Плавниками, Пижейручьем, Верхний Тереб;  
355; Покосы, Иводе, Куя;  
356; Болото, Куя;  
357; Поля;  
358; ;  
359; Сибово, Великой Губы, Еглов;  
360; Типиницы, Барабушка, Кибручей, Онежское озеро, Бор;  
361; Прокушево, Пелушскому погосту, Прокушево;  
362; Šalg'ögi;  
363; Cuurulamminoja, Сеппяваарское;  
364; Типиницы, Корытово, Типиниц;  
365; Тигверка;  
366; Габнаволок;  
367; Родник, Южной поляны;  
368; Панкратово, Иводы;  
369; Раньково;  
370; ;  
371; Ручей, Itačg'är'v, Андомозеро, Кяма;  
372; Кузьостров;  
373; Лопата;  
374; Калейгуба;  
375; Бонгу, Чистое болото;  
376; Варежозеру;  
377; Онежского озера, Лазнаволок, Бережное поле;  
378; Ояти, Vougedoja;  
379; Нинисельга;  
380; Бор;  
381; ;  
382; Болото;  
383; Онежском озере;  
384; Родник;  
385; Ильино поле;  
386; Прокушево;  
387; Ручей, Нинисельгское, Низоя;  
388; Вороньего Острова, Типиницы, Вороньего Острова, Вороний Остров;  
389; Пожня;  
390; Ропля;  
391; Сарозеро;  
392; Sod'järv;  
393; Тигверское;  
394; ;  
395; Ладва;  
396; Сибово;  
397; Углевщина;  
398; Великой Губы, Девьими, Звонецкими островами;  
399; Холмы;  
400; Шолу;  
401; Медные Ямы;  
402; Виговской губе, Пелдожнаволока;  
403; Типиницы, Онежского озера, Берег;  
404; Холмы, Гремячего ручья;  
405; Саньки, Галайгубы;  
406; Чайгино, Чидово, Jerlajär'v;  
407; Местечко;  
408; Сенозеро;  
409; Шолы, Tommis, Habmis, моста Lava;  
410; Онежское озеро, Сибово, Лигойгуба;  
411; Саньки;  
412; Озера;  
413; Губа, Усть-Яндома, Пертнаволок;  
414; Усть-Яндомы;  
415; О болото;  
416; Ручей, Перелесок, Чикозеро;  
417; Lad'jär'v;  
418; ;  
419; Головное;  
420; Поляна;  
421; Лесное урочище;  
422; Лидь, Сидорово;  
423; Поле;  
424; Крутая горка, Сидорово;  
425; Ояти, Toropamägi;  
426; Мягкую Сельгу;  
427; Лесное урочище, Пустошка, Межозерья;  
428; Красное Поле, Ребеже;  
429; Чёрный Наволок;  
430; Ступово;  
431; ;  
432; Сарозера;  
433; ;  
434; Корытово, Типиницы, Задняя деревня;  
435; Кемское, Кемское, Дальнее, Кельюс, Четвертина, Вошково;  
436; Arskaht';  
437; Ояти;  
438; Типиницы, Ключи, Ключиха;  
439; ;  
440; Пидасельга;  
441; Каскосельга;  
442; Вегорукской дороги, Вятнуты;  
443; Пажемское, Котву;  
444; Пускусельга;  
445; Тигверское, Тигверки;  
446; ;  
447; Лидь;  
448; Покосы;  
449; Sur'so;  
450; Иводы, Pondag'ögi;  
451; ;  
452; Типиницы;  
453; ;  
454; Губа, Усть-Яндома;  
455; Подовинники;  
456; Вигово, Педейнаволок;  
457; ;  
458; Иводе;  
459; Aksintanaz;  
460; Нинисельга;  
461; ;  
462; Поле, Есино;  
463; Ояти, Vähär', Ändär;  
464; Типиницы, Типиницы, Макаровица, Поле;  
465; Мельничная полоса;  
466; Луда, Западная Усть-Яндома;  
467; Пожня, Замошье;  
468; Губа, Усть-Яндома, Чежгуба, Сухой наволок;  
469; Поляна, Холмы;  
470; Sugang'är'v;  
471; Poudag'är'v, Туржино, Pen'oja;  
472; Ручей, Сорочья Гора, Тулосозеро;  
473; Яндомозера;  
474; Пахотная полоса;  
475; ;  
476; Яндомозера, Клюхино, Орга;  
477; Поля дер;  
478; Саньки;  
479; Потахино;  
480; Новачисти, Вигово;  
481; Нинисельгское;  
482; Ояти;  
483; Лесное урочище;  
484; Сидорово, Белое Озеро, Никанор;  
485; Пахотная полоса;  
486; ;  
487; Усть-Яндома, Яндомозеро, Гладкая Дорожка, Ближнюю, Дальнюю Каменку;  
488; Ояти;  
489; Яндомозеро, Погоста;  
490; Ярбозеро, Выласконское озеро, залив Ярбозера;  
491; Сарозеро, Яндозеро;  
492; Великая Губа, Сибово, Кондобережская;  
493; ;  
494; Mägi;  
495; Кемское, Кукозеро, Янсора;  
496; Лидь;  
497; Горка;  
498; Типиницы, Варежозера;  
499; Онежском озере, Тамбица;  
500; Озера;  
501; Яндозеро;  
502; Усть-Яндома;  
503; Усть-Яндома;  
504; Mudarv';  
505; Заонежье, Онежского озера, Яндома, Западную, Восточную Усть-Яндому;  
506; Вороньего Сотрова, Типиницы, Вороньего Острова, Вороний Остров;  
507; Sar'järv;  
508; Перелесок, L'edo, Jamugoja;  
509; Šäjäm, Бора;  
510; Tauhaine;  
511; ;  
512; Сарозеро;  
513; Болото;  
514; Пахотная полоса;  
515; озера Ярбозера, Мельничный;  
516; Холмы;  
517; Пакульное;  
518; Пахотная полоса;  
519; Лахта;  
520; Онежском озере, Высокая Нива, Высоконивские острова;  
521; Задняя, Типиницы;  
522; Вороний Остров, Тамбицы, Лазнаволок;  
523; Кемское, залива Грязина;  
524; Лесное урочище, Кемозеро, Угольная Сельга;  
525; Яндомозеро, Есино, Обельщиной, Канава, Яндомозеро;  
526; Горка;  
527; Šarg'äg'är'v, Iitg'är'v;  
528; Онежском озере, Вороний Остров;  
529; ;  
530; Лесное урочище, Jušk;  
531; Щупа;  
532; ;  
533; Типиниц, Типиницы, Усть-Яндому, Корежье, Онежское озеро, Лейнаволоке;  
534; Вигово, Липовицы;  
535; Кумбыши;  
536; Сяргозеро;  
537; Мельничного ручья, Тимшино, Выласское, Большая Укнева, Маленькая Укнева;  
538; ;  
539; Поле;  
540; Яндомозеро, Погост;  
541; Великой губе, Вигово;  
542; ;  
543; Яндомозера, Ушково;  
544; ;  
545; Белозерском р-не, Шоле;  
546; Маткозера;  
547; Восточная Усть-Яндома, Островов Сиг, ТК, ТК остров Гавгай, Острадний;  
548; Усть-Яндома, Подщельга, Типиницы;  
549; Чежгубе, Западная Усть-Яндома;  
550; Поле;  
551; Западная Усть-Яндома;  
552; Markutan, Trusamägi;  
553; ;  
554; Пахотная поляна, Кондобережской;  
555; Романостров;  
556; Сорочья Гора;  
557; Лесное;  
558; Истомино;  
559; Сенокосные угодья дер, Прокушево, Sur'oja;  
560; Калейгубе, Вигово;  
561; Великая Губа, Великая Губа, Саньки;  
562; Большая Сенатка;  
563; Гладкая Нива;  
564; N'em;  
565; С/х поляна;  
566; ;  
567; Лигачевская;  
568; Haadad;  
569; Бор, Есино;  
570; Pitkuoja;  
571; Ignatoja, Šalg'ögi;  
572; Прокушево, Корвалу, Чидово;  
573; Линдома;  
574; Тигверка;  
575; Виговской губе, Вигово, Вигово;  
576; Ближней поляны, Дальней поляны, У Зародья, За дорогой, Ниже Дороги;  
577; ;  
578; Nin'mägi, Слобода;  
579; Луда;  
580; Перелесок;  
581; ;  
582; Сенокос, Виговской губы, Пижейручей, Тереба;  
583; С/х поляна;  
584; Иводе;  
585; Сондале;  
586; Болото;  
587; Обельщина;  
588; Sar'jar'v;  
589; Калейгубском наволоке;  
590; Поляна, Погост, Яндомозеро;  
591; Низина;  
592; Пондала, Иводу;  
593; ;  
594; Ахвенламби, Сельга;  
595; Сидорова;  
596; Высокая гора, Войлахты;  
597; Болото;  
598; Лидь, Лахта;  
599; Тамбицы, Пидасельгу;  
600; Redujär'v, Пелушской дороге;  
601; ;  
602; Сорочья Гора;  
603; Луда, Яндомозере, Истомино;  
604; Большая Сенатка, Slabat;  
605; Aksintanaz;  
606; Ояти;  
607; Sagaž, Mustoja, Sepatg'är'v;  
608; Поле;  
609; Чидово;  
610; Пустошка;  
611; Ручей, Сеппяваара, Сеппяваарское;  
612; Залив;  
613; Лесное урочище;  
614; Покосы, Лимбозере;  
615; Горка, Истомино, Углевщина;  
616; Усть-Яндома, Усть-Яндомы, Сибово, Яндома, Сибово, Чежгубы;  
617; Габнаволок, Тамбицы;  
618; Типиницы;  
619; Hagoja;  
620; Вигово, Вигово, Великой Губе;  
621; Великой губе, Вигово;  
622; Луда, Марковщина;  
623; Типиницы, Усть-Яндому, Типиниц, Нурица;  
624; Ламба, Нинисельга;  
625; Sar'jar'v;  
626; Покосы, Сорочья Гора;  
627; Есино;  
628; ;  
629; Sidroja;  
630; Селище;  
631; Великой губы, Калейгубы;  
632; Пондалы, Туржины;  
633; Юршичручья;  
634; Сибово;  
635; Варежский Мох, Косельги;  
636; Ярбозера, Выласское, Васюково, Юршинская Гора;  
637; Яндомозеро, Моста, Канавке;  
638; Поляна, Подгора;  
639; ;  
640; Пускусельга, Bojarit;  
641; Поле, Утицино;  
642; Калинова;  
643; Вигово;  
644; Подщельгой;  
645; Усть-Яндома, Петров остров;  
646; Бережной, Типиницы;  
647; Поле, Западная Усть-Яндома, Большого поля;  
648; Губа, Корежье, Лейнаволоке;  
649; L'edo;  
650; Portomoja, Сташково Радогощенский с/с, Luuzikhaamez;  
651; Иводы, Septang'ögi;  
652; Määtjär'v, Pihlištso;  
653; Подовинники;  
654; ;  
655; Aksintanaz;  
656; Lumbahg'är'v;  
657; Тигвера;  
658; Тулосозеро;  
659; Ридсельга;  
660; Шолу;  
661; Vaadimso;  
662; Прокушево;  
663; ;  
664; Mel'n'icoja;  
665; Лазнаволок;  
666; Oz'orkad;  
667; Пожня;  
668; Болото, Сидорово, Kul'jakmägi;  
669; Перелесок;  
670; Белая, Баброзеро, Лидь;  
671; Ивки, Сеппяваарское протокой, Niemenoja, Тулокса;  
672; Muskedd'är'f, Маков;  
673; Сельскохозяйственная поляна;  
674; Natkant'e, Natk;  
675; ;  
676; Яндомозера, Яндомозеро, Усть-Яндомы, Яндомозеро;  
677; Тигвера;  
678; Большое болото;  
679; Пожня;  
680; Габнаволок;  
681; ;  
682; Юстозера;  
683; Типиницы;  
684; Иводу;  
685; Болото, Вигово, Маткозера;  
686; Онежское озеро, Высокая Нива;  
687; Бережная;  
688; Lahtoja;  
689; Тигверка, Тулосозеро;  
690; Типиницы, Типиницкую бухту, Бор;  
691; Березнаволок;  
692; Холмы;  
693; Пустошкой;  
694; Великой губы, Загубье;  
695; Ламба;  
696; Усть-Яндому;  
697; Сенокос;  
698; Oleksien Puavilankodi;  
699; Кема, Погост, Великий Двор;  
700; Туржино;  
701; Обод;  
702; Яндомозера, Холмы, Типиницкий с/с, Лимбозера;  
703; Юстозеро, Alan'edarvi, Alan'edarvi, Малая Семча, Семча, Юстозеро;  
704; Усть-Яндому, Ушково, Волчерга;  
705; Покос;  
706; Sur'oja;  
707; Pehkoja;  
708; Яндомозера, Липов ручей, Калозера, Корбозеро;  
709; ;  
710; Кибитка;  
711; Вирино;  
712; Типиницы, Косельги, Половину, Садамгубу, моста Половина, Типиницы, Вороний Остров;  
713; Иводы;  
714; Тамбицы;  
715; Каскосельга, Тамбицы;  
716; Вороний Остров;  
717; ;  
718; Пахотная полоса;  
719; Река, Крупень;  
720; Типиницы;  
721; Яндомозера;  
722; Оять;  
723; ;  
724; Яндомозера;  
725; Виговской губе, Вигово, Вигово, Кортнаволока;  
726; Западная Усть-Яндома, Осиновец;  
727; Сидорово;  
728; Бор, Утицино.За;  
729; Kur'g, Pihär'jär'v;  
730; Brot, Иводе;  
731; Ояти;  
732; Колпь;  
733; Калейгубе;  
734; Озерко, Пустошка;  
735; Керацкое озеро;  
736; ;  
737; Иводе;  
738; Поле;  
739; Саньки, Егорьевы Поляны, Андрешков Угол;  
740; Rihaluine;  
741; Пертнаволок, Сухой наволок, Глубокого ручья;  
742; ;  
743; Канаву, Яндомозеро;  
744; Markutan, Шольской дороге, Kirikan Sava;  
745; Иводе, Hörm(;  
746; Сяргозера;  
747; Болото, Аксеново, Nat'kg'är'v;  
748; Типиницкой бухты;  
749; Šeliš;  
750; Онежском озере, Тамбицы;  
751; Tišagj;  
752; Плавницкую губу, Вигово;  
753; Горка, Сеппяваарское;  
754; Вороний Остров;  
755; ;  
756; Сидоровского с/с, Сидорово, Лидь;  
757; Усть-Яндома;  
758; Иводе;  
759; Tutuhgär'v, Сташково Радогощенский с/с;  
760; Stupou, Ступово;  
761; Aksintanaz;  
762; Rihaluine;  
763; ;  
764; Вороний Остров, Бережным, Мельничным;  
765; Великой Губы, Сибово, Девьими островами;  
766; Кибитка;  
767; Покос;  
768; Сидорово, Белое Озеро;  
769; Лесное урочище;  
770; Типиницы, Вороньего Острова;  
771; Омут, Панкратово;  
772; Ояти;  
773; Саньки, Яндомозера, Южная поляна;  
774; Поляны, Сибово, Сибово;  
775; Шолы, Sagaž, Slabat;  
776; Великая Сельга;  
777; Ламба;  
778; Великой губы, Калейгубы, Сибово;  
779; Вороний Остров, Бабнаволок, Ключевская Дорога;  
780; ;  
781; Кема, Нюкша, Кема, Мирный;  
782; Kodar'v;  
783; Иводы, Pondag'ögi;  
784; Нинисельгское;  
785; ;  
786; Тигвера;  
787; Сибово;  
788; Поле;  
789; Габнаволок;  
790; Марковщины, Клюхино, Бабий Наволок;  
791; Кибитка, Полей;  
792; Усть-Яндому, Ушковской губы, Ушково;  
793; Вороний Остров, Баранова Наволока;  
794; Сибово, Суйнаволоком, Габнаволоком;  
795; Маланьевщиной, Мягкую Сельгу;  
796; Яндомозеро, Родиваново, Раньково;  
797; Виговской губы;  
798; Иводы;  
799; Habišt;  
800; Луда, Усть-Яндома;  
801; Киндаево;  
802; Päčn'em';  
803; Пондалы, Pondag'ögi;  
804; Типиницы, Вороний Остров;  
805; Сарозеро, Озера;  
806; ;  
807; Толлореки;  
808; Лесное урочище;  
809; Поле;  
810; Пахотная полоса;  
811; Сарозеро, Pehkoja;  
812; Типиницы, Типиницкой бухты;  
813; Берег озера;  
814; Великой губе, Сибово, Полнаволока;  
815; Омут;  
816; Типиницы, Усть-Яндому, Нурица, Типиниц;  
817; Горка;  
818; Типиницы;  
819; Усть-Яндома;  
820; ;  
821; Hebojär'v;  
822; Пахотная полоса;  
823; С/Х угодье дер, Баброзеро Радогощенский с/с;  
824; ;  
825; Пустошка, Vaugedd'är'f;  
826; Губа, Сибово, Красного поля;  
827; Высокая гора;  
828; Болото;  
829; Пелушскому озеру, Лидь, Nikanor;  
830; Ярбозеро;  
831; Ивки, Ивки, Тигверского с/с;  
832; Холмы;  
833; Pondag'ögi;  
834; ;  
835; Местечко, Сидорово, Kodoja;  
836; Усть-Яндома, Онежского озера;  
837; Линдома;  
838; ;  
839; Горка;  
840; Сибово, Сибово, Южным, Северным Корытостровами;  
841; Pal'miko;  
842; Барановщине, Кривой Пенге;  
843; Ropal'jogi, Habišt;  
844; ;  
845; Säjägär', Korvoil, Корвалы;  
846; Кузарандой;  
847; Ковжа, Кустозеро, Мельничного моста;  
848; Habišt;  
849; ;  
850; Койвусельга;  
851; Погост, Яндомозеро;  
852; Койгуба, Кадбгуба;  
853; Корбозера;  
854; Яндомозеро;  
855; Aksintanaz;  
856; Ропля;  
857; Перелесок, Белому Озеру;  
858; Линдома;  
859; ;  
860; Летнее;  
861; Шильё;  
862; Сарозеро;  
863; Сибово, Липовицы;  
864; Корытово;  
865; Поля, Полевское, Межозерское;  
866; Лидь, Mišukanoja;  
867; Усть-Яндома;  
868; Вороний Остров;  
869; Поляна;  
870; Кибитка;  
871; Куя;  
872; Онежское озера, Типиницы, Вороний Остров;  
873; Озеро, Кемское, Пичемский ручей, Янсора;  
874; Сибово, Кондобережской;  
875; Тамбицы;  
876; Ладва;  
877; Turžin;  
878; Сондалручья, Vougedjärv;  
879; Сидорово;  
880; Sidorovoidemelnic;  
881; Kivijär'v, Oks'jär'v;  
882; Малая Тамбица, Тамбицы, Локречка;  
883; Поле, Есино, Яндомозера;  
884; Лесное урочище;  
885; Мост через р. Лидь;  
886; Бабнаволоке;  
887; Semoi;  
888; Есино;  
889; Озерко;  
890; Natk, Иводу;  
891; Чёрный Наволок;  
892; Сенокос, Большому болоту;  
893; Саньки, Егорьева Поляна, Кузьмиха;  
894; Курняйнаволок;  
895; Полевское, Керацкое;  
896; Марковщины;  
897; Поле;  
898; Вигово;  
899; Бабнаволок;  
900; Лесное урочище, Сокол;  
901; Яндома;  
902; ;  
903; Поле;  
904; Пондала;  
905; Покос;  
906; Sar'jar'v;  
907; Лигострова;  
908; Яндомозере, Яндомозеро, Погоста;  
909; ;  
910; Великой губе, Вигово, Сельгострова;  
911; ;  
912; Саньки, Яндома, Савиновка, Усть-Яндома;  
913; ;  
914; Типиницы, Трутнево, Корытово, Типиниц, Мокаровица;  
915; Пелуш, Сидорово;  
916; Онежском озере, Варнаволок;  
917; ;  
918; Яндоме;  
919; Иводе, Куя;  
920; вОнежском озере, Красного поля;  
921; Типиницы;  
922; Болото;  
923; Мельница, Иводу;  
924; Истомино;  
925; Виговской губы, Пижей, Галаймха;  
926; Пахотная полоса;  
927; Поле;  
928; Мельничным полем, Вороний Остров;  
929; Яндомозере;  
930; Типиницкой бухты, Койгуба;  
931; Великой губы, Сибово;  
932; ;  
933; Сорочья Гора;  
934; Sojär'v;  
935; Тулосозеро;  
936; Шолу;  
937; Марково;  
938; Turkin;  
939; Иводе, Слобода;  
940; Покос;  
941; ;  
942; Маленький островок;  
943; Карельских островов;  
944; Пожня, Тамбицы, Локречка, Пидасельгу, Тамбиц;  
945; Усть-Яндома, Яндома, Сибово;  
946; Иводу;  
947; Усть-Яндома;  
948; Пахотная поляна, Обод;  
949; ;  
950; Болото;  
951; ;  
952; Susin Mihailankodi;  
953; Усть-Яндомы, Яндомозеро, Яндомозеро;  
954; Истомино, Яндомозеро, Мурый Мох;  
955; Габнаволок;  
956; Sar'jar'v;  
957; Есино, Яндомозеро, Родионово;  
958; Вороний Остров, Типиницы;  
959; Онежском озере, Линдома;  
960; Горелый Мох;  
961; Онежском озере, Типиницы;  
962; Габнаволок, Мыс;  
963; Варишозера;  
964; ;  
965; Покос, Утицино;  
966; Усть-Яндома, Яндома, Обод;  
967; Покосы;  
968; Покос;  
969; ;  
970; Пидасельга, Поляна;  
971; Mel'n'icoja, Перелесок;  
972; Сидоровского куста;  
973; Восточная Усть-Яндома, Смолек;  
974; Кибитка, Поля;  
