sentence_id; toponyms_list; nearby_abbreviations 
67; Виговской губы, Педейнаволоком, Лейреки, Корельских, Корельского, Вигово;  
68; Кумбыша, Ушового моста, Северница, Безрукий Обод; к, у 
69; Пустынской дороге, Сяргозера;  
70; Шолу, Сепатки; р 
71; Сидорово; дер 
72; Усть-Яндома, Типиницы, Глубоким Ручьем, Средняя Пихтеревщина; к, д 
73; Сташково Радогощенский с/с; дер, с 
74; ;  
75; Горка; у 
76; ;  
77; Пожня;  
78; Lidnag'är'v; оз 
79; Вороний;  
80; Великой губе, Вигово;  
81; Покосы, Марковщины, Мягкую Сельгу, Космозерский с/с; с, у 
82; ;  
83; Саньковский Наволок;  
84; Колпь; дер, р 
85; Болото; с, дер 
86; Пожня;  
87; Типиницы, Типиницкий залив, Нулица; м, д, у 
88; Turžin; дер 
89; Типиницы;  
90; Пахотная полоса;  
91; Озера;  
92; Омут, Иводе; дер, р 
93; Ояти;  
94; Кибитка, Никитину; к, у 
95; Чёрный Наволок, Тамбицы; м 
96; ТамбицыЮ, Тамбицы;  
97; Раньково, Погост; у 
98; Niemenoja;  
99; ;  
100; Koverjärveet, Красный Бор; у, оз, дер 
101; Есина, Усть-Яндому, Ушковской губы, Яндомозера, Яндомы; у 
102; Сарозеро;  
103; Сяргозеро;  
104; Goroi;  
105; Обельщина; к, д 
106; Поле; у 
107; Плоской сельги, Плоская Сельга; х, к, с, у 
108; Габнаволок; к, м 
109; S'ägä, Шоле; р 
110; Усть-Яндома, Яндомозеро, СРНГ; к, д 
111; Ольеш; лес 
112; Яндомозера, Холмы, Красный Мох; д, у 
113; Залив оз, Яндомозеро; оз 
114; Вороньего острова; к, м 
115; Яндома, Типиницы, Усть-Яндомы, Глубокого ручья; р 
116; Капшозеро; к 
117; Саньки, Черный Наволок; к, д 
118; Саньки, Северным полем, Обод, Северный, Южный Заосек, Заосеком, Боровуха; к 
119; Прокушево, Лидь, Berežn; у 
120; Иводе; р 
121; Каскосельгой, Педасельгой;  
122; Шоле; р 
123; Пахотная полоса;  
124; Аксеново; к, оз, дер 
125; ;  
126; ;  
127; Типиницы;  
128; Корбозерской речкой;  
129; Лесная река, Полевское; оз 
130; ;  
131; Поле; у 
132; Панкоратово; дер 
133; Кузница, Саньки; м, к, д 
134; Романострова;  
135; Kurikjär'v; у, оз 
136; Ярбозеро;  
137; ;  
138; Усть-Яндому, Корбозером;  
139; Ладва;  
140; Пожня;  
141; ;  
142; Великой губе, Вигово;  
143; Пускусельга; дер 
144; Шоле, Мартыновская; р, дер 
145; Пускусельга; дер 
146; остров Большой, Сибово; мост, с 
147; ;  
148; Типиницы, Есино; с 
149; Кибитка;  
150; Siidjär'v; у, оз 
151; ;  
152; Sar'jar'v;  
153; Усть-Яндома, Чежгубу; к, д 
154; Вигово, Коткиламбы; к 
155; ;  
156; Сорочья Гора; дер 
157; Типиниц, Холмы;  
158; ;  
159; ;  
160; Ламба; с 
161; Sojär'v; у, оз 
162; Кибитка; м, к 
163; ;  
164; Natkug'är'v; оз 
165; Habišt;  
166; Берег;  
167; Semopuustso, Сташково Радогощенский с/с, Luuzikhaamez; у, дер, с 
168; Виговской губе, Вянчостров, Вигово, Вяниш; м, с 
169; Обельщина; к, д 
170; ;  
171; Яндомозера;  
172; Пелдуши;  
173; Большое озеро, Poudag'ögi, Иводу; дер, р 
174; ;  
175; Paloja;  
176; Paloi;  
177; ;  
178; Плавницкой губы, Галай-бором, Мягким бором, Вигово; к 
179; Горки; дер 
180; Загубье, Лельречку, Вигово;  
181; Кибитка;  
182; Soudaljar'v;  
183; Есино, Яндомозера;  
184; Великой губе, Сибово; к 
185; Усть-Яндома, Сиг, Малый Сигостров; м, к, д, о 
186; Поле;  
187; Яндомозера, Великой Губой;  
188; Наволок;  
189; Немжа;  
190; Sar'jar'v;  
191; Сеппяваарское;  
192; Яндомозеру; у, к 
193; Krutaan'e, Uit, Белое; у, оз 
194; Нинисельгское;  
195; Пожня;  
196; Нинисельга; дер 
197; Габнаволок, Великий Мох; м, у 
198; Поле;  
199; Пустошка, Кузино; дер, оз 
200; Мартыновское, Лошны;  
201; ;  
202; Типиницы, Гора, Вороний Остров, Типиниц;  
203; Чайгино;  
204; Задней, Типиницы, Ключи;  
205; Пускусельга; дер 
206; Vihkang'är'v; с, оз 
207; S'üd'äin'so, Иводу; р 
208; Сенокос, Тамбицы; у 
209; Ояти;  
210; Лахта; к, дер 
211; T'itasar', S'är'gär'v; к 
212; Западная, Восточная Усть-Яндома, Большая поляна;  
213; Каскосельга, Кургилова ручья; м 
214; Обод, Саньки; у 
215; Лидь, Savoiso, Sur'oja; р 
216; Поляна, Углевщина; д 
217; Типиницы, Типиницы, Макаровица, Нулица, Большую Каменку, Малую Каменку;  
218; ;  
219; Озера;  
220; Пахотная поляна, Усть-Яндому; к 
221; Усть-Яндома, Яндома, ГИА; м, к, д, уроч 
222; ;  
223; Tanaz, Лахта; дер, к, с, х 
224; ;  
225; Малая Семча, Семча, Нижнее;  
226; Лидь; р 
227; Тигвера; дер, с 
228; ;  
229; Лесное урочище; у 
230; Панкратово; дер 
231; Aksintanaz; дер 
232; Койвусельга; дер 
233; Kiškin, Kiškin; у, оз 
234; ;  
235; Покос; к, дер 
236; ;  
237; ;  
238; Aksintanaz, Pitks'üud; дер 
239; Покос, Вигово, Маткозера; к, у 
240; Vandezoja; у 
241; Поле за мостом;  
242; Типиницы, Поля;  
243; Поля;  
244; Усть-Яндомы, Яндома, Савиновка, Саньки; д 
245; Тигверка;  
246; Иводы; р 
247; Усть-Яндома, Яндомы; д 
248; Линдома;  
249; Великой губы; к 
250; Усть-Яндома, Смолек; м, к, д 
251; Сарозеро; х 
252; Яндозеро;  
253; Есино; к 
254; ;  
255; Болото; с, д 
256; ;  
257; Пондалы, Шимозера, Иводы; р 
258; Кибитка, Поля;  
259; Сяргозеро Вытегорск; дер, р 
260; Яндомозера, Калозера; к 
261; Каскосельга, Великую Ниву; м, к 
262; ;  
263; Сибово, Усть-Яндома, Усть-Яндому, Лигойгубы;  
264; Ояти;  
265; Ярбозера, Ярбозера, Выласское, Илосгоре; с 
266; Lad'jär'v; у, оз 
267; Виговской/Великой губы, Вигово, Липовицы, Пижей; у 
268; Вороньего Острова; к 
269; ;  
270; Тамбица;  
271; Обушницы;  
272; Большой ручей, Крупень; р 
273; Омут; р 
274; Sokol; оз 
275; Gagaroja, Перелесок; дер 
276; Вигово, Ушкова Моста, Новочисть, Плавники; к, у 
277; Саньки, Усть-Яндома, Конецгубским бором;  
278; Куя; дер 
279; Подовинниках;  
280; Типиницы, Каменистое место; у 
281; Сенокос, Ломовица, Маткозера, Ломовицкий бор; к, бор 
282; Вегоруксы, Великую Губу, Вигово, Вегоруксы;  
283; Речевский ручей, Ярбозеро; к 
284; Подовинники;  
285; Варежозера; к 
286; Иводы; у, р 
287; Tagičjär'v; у, оз 
288; Лахта;  
289; Озера; с 
290; Горка;  
291; ;  
292; Войлахты, Sur'so, Šalg'ögi; к, р 
293; Gagar'oja, Сидорово;  
294; Озерко;  
295; ;  
296; Поля;  
297; Омут, Шоле, моста Lava; р 
298; Сарозеро;  
299; Есино, Корбозеру, Горелая Орга; с, к 
300; ;  
301; Иводе; р 
302; Корбозером, Мунозера;  
303; С/х поляна; х, к 
304; Сидорово; дер 
305; ;  
306; Тигвера; дер 
307; Замельницкая Поляна;  
308; Озера;  
309; Колбовщина;  
310; Карельских островов, Яндомозеро, Западным, Большим; у 
311; Вороний Остров, Тамбицы, Вороньего Острова; к 
312; Коргубы;  
313; Сенокос, Лимозеру; к, дер 
314; Кемское, Пичемское, Янсора;  
315; Песчаный карьер;  
316; Пахотная полоса;  
317; Габнаволок, Тамбицы;  
318; Natk; р 
319; Остров; бол 
320; Нивы;  
321; Варежскому озеру; дер, с, к 
322; Габнаволок; м 
323; Тамбицы, Локречка, Пидасельгу, Тамбиц;  
324; Усть-Яндома; д 
325; Нинисельга; дер 
326; Тимошино, Выласское, Юршинского ручья; у 
327; ;  
328; Покос, Кривые Пенья;  
329; Сеппяваара; дер 
330; Бабим Наволоком;  
331; Aksintanaz; дер 
332; Сяргозеру, Слобода; к, дер 
333; Яндомозера, Щеглову, Ковручей; к 
334; ;  
335; ;  
336; Покос, Мартыновское; дер 
337; Марковщины;  
338; Саньки; к, д 
339; Шолой, Селище; р 
340; Лахта; дер 
341; Гусево, Лейреки, Вигово;  
342; Zmiiso; у 
343; Курнейнаволок;  
344; Кемское, Кема, Лухтица; у 
345; Поляна; к 
346; Болото; с, з, дер 
347; Сарозеро;  
348; Поле;  
349; Иванков, Сибово;  
350; ;  
351; Марковщина, Яндомозеро; д, с 
352; Габнаволок; м 
353; Сарозере;  
354; Виговской губы, Плавниками, Пижейручьем, Верхний Тереб;  
355; Покосы, Иводе, Куя; р, к, дер 
356; Болото, Куя; дер 
357; Поля;  
358; ;  
359; Сибово, Великой Губы, Еглов;  
360; Типиницы, Барабушка, Кибручей, Онежское озеро, Бор; к 
361; Прокушево, Пелушскому погосту, Прокушево; к 
362; Šalg'ögi; р 
363; Cuurulamminoja, Сеппяваарское; оз 
364; Типиницы, Корытово, Типиниц;  
365; Тигверка;  
366; Габнаволок; м 
367; Родник, Южной поляны;  
368; Панкратово, Иводы; дер, р 
369; Раньково; м, к, д 
370; ;  
371; Ручей, Itačg'är'v, Андомозеро, Кяма; оз, р 
372; Кузьостров;  
373; Лопата;  
374; Калейгуба;  
375; Бонгу, Чистое болото; у 
376; Варежозеру; к 
377; Онежского озера, Лазнаволок, Бережное поле;  
378; Ояти, Vougedoja;  
379; Нинисельга; дер 
380; Бор; дер 
381; ;  
382; Болото; оз 
383; Онежском озере;  
384; Родник;  
385; Ильино поле;  
386; Прокушево; дер, к 
387; Ручей, Нинисельгское, Низоя; оз 
388; Вороньего Острова, Типиницы, Вороньего Острова, Вороний Остров;  
389; Пожня; с 
390; Ропля; к 
391; Сарозеро;  
392; Sod'järv;  
393; Тигверское;  
394; ;  
395; Ладва;  
396; Сибово; к 
397; Углевщина; м, д 
398; Великой Губы, Девьими, Звонецкими островами; берег 
399; Холмы; у, д 
400; Шолу; р 
401; Медные Ямы; м 
402; Виговской губе, Пелдожнаволока;  
403; Типиницы, Онежского озера, Берег;  
404; Холмы, Гремячего ручья;  
405; Саньки, Галайгубы; к, д, м 
406; Чайгино, Чидово, Jerlajär'v; оз 
407; Местечко;  
408; Сенозеро; оз 
409; Шолы, Tommis, Habmis, моста Lava; р, у, с 
410; Онежское озеро, Сибово, Лигойгуба; с 
411; Саньки; д 
412; Озера;  
413; Губа, Усть-Яндома, Пертнаволок; д, мыс 
414; Усть-Яндомы; к 
415; О болото;  
416; Ручей, Перелесок, Чикозеро; оз, дер, к 
417; Lad'jär'v; у, оз, дер 
418; ;  
419; Головное; к, л, п 
420; Поляна;  
421; Лесное урочище;  
422; Лидь, Сидорово; р 
423; Поле;  
424; Крутая горка, Сидорово; дер 
425; Ояти, Toropamägi;  
426; Мягкую Сельгу;  
427; Лесное урочище, Пустошка, Межозерья; дер 
428; Красное Поле, Ребеже; к 
429; Чёрный Наволок; м 
430; Ступово;  
431; ;  
432; Сарозера;  
433; ;  
434; Корытово, Типиницы, Задняя деревня;  
435; Кемское, Кемское, Дальнее, Кельюс, Четвертина, Вошково; к 
436; Arskaht';  
437; Ояти;  
438; Типиницы, Ключи, Ключиха;  
439; ;  
440; Пидасельга;  
441; Каскосельга;  
442; Вегорукской дороги, Вятнуты;  
443; Пажемское, Котву;  
444; Пускусельга; дер 
445; Тигверское, Тигверки; у 
446; ;  
447; Лидь; р 
448; Покосы; дер 
449; Sur'so;  
450; Иводы, Pondag'ögi; р, оз 
451; ;  
452; Типиницы; у 
453; ;  
454; Губа, Усть-Яндома; м, д 
455; Подовинники;  
456; Вигово, Педейнаволок;  
457; ;  
458; Иводе; р 
459; Aksintanaz; дер 
460; Нинисельга; дер 
461; ;  
462; Поле, Есино;  
463; Ояти, Vähär', Ändär;  
464; Типиницы, Типиницы, Макаровица, Поле; с 
465; Мельничная полоса;  
466; Луда, Западная Усть-Яндома; д 
467; Пожня, Замошье;  
468; Губа, Усть-Яндома, Чежгуба, Сухой наволок; д, к 
469; Поляна, Холмы; у, дер 
470; Sugang'är'v; у, оз 
471; Poudag'är'v, Туржино, Pen'oja; оз, дер 
472; Ручей, Сорочья Гора, Тулосозеро; дер, оз 
473; Яндомозера;  
474; Пахотная полоса;  
475; ;  
476; Яндомозера, Клюхино, Орга;  
477; Поля дер; дер 
478; Саньки; к, д 
479; Потахино;  
480; Новачисти, Вигово;  
481; Нинисельгское; оз 
482; Ояти;  
483; Лесное урочище;  
484; Сидорово, Белое Озеро, Никанор; дер 
485; Пахотная полоса;  
486; ;  
487; Усть-Яндома, Яндомозеро, Гладкая Дорожка, Ближнюю, Дальнюю Каменку; м, к, д, у 
488; Ояти;  
489; Яндомозеро, Погоста; д 
490; Ярбозеро, Выласконское озеро, залив Ярбозера;  
491; Сарозеро, Яндозеро;  
492; Великая Губа, Сибово, Кондобережская; к, с, х 
493; ;  
494; Mägi;  
495; Кемское, Кукозеро, Янсора; з, с 
496; Лидь; р 
497; Горка; дер 
498; Типиницы, Варежозера;  
499; Онежском озере, Тамбица;  
500; Озера;  
501; Яндозеро;  
502; Усть-Яндома; м, к, д 
503; Усть-Яндома; д 
504; Mudarv';  
505; Заонежье, Онежского озера, Яндома, Западную, Восточную Усть-Яндому;  
506; Вороньего Сотрова, Типиницы, Вороньего Острова, Вороний Остров;  
507; Sar'järv;  
508; Перелесок, L'edo, Jamugoja; дер 
509; Šäjäm, Бора;  
510; Tauhaine;  
511; ;  
512; Сарозеро; у 
513; Болото; дер 
514; Пахотная полоса;  
515; озера Ярбозера, Мельничный; руч 
516; Холмы;  
517; Пакульное;  
518; Пахотная полоса;  
519; Лахта; к, д 
520; Онежском озере, Высокая Нива, Высоконивские острова; дер 
521; Задняя, Типиницы;  
522; Вороний Остров, Тамбицы, Лазнаволок; у 
523; Кемское, залива Грязина; м 
524; Лесное урочище, Кемозеро, Угольная Сельга;  
525; Яндомозеро, Есино, Обельщиной, Канава, Яндомозеро; д, м, у 
526; Горка; к 
527; Šarg'äg'är'v, Iitg'är'v;  
528; Онежском озере, Вороний Остров; у 
529; ;  
530; Лесное урочище, Jušk; дер 
531; Щупа;  
532; ;  
533; Типиниц, Типиницы, Усть-Яндому, Корежье, Онежское озеро, Лейнаволоке; с, х 
534; Вигово, Липовицы;  
535; Кумбыши; у 
536; Сяргозеро; дер 
537; Мельничного ручья, Тимшино, Выласское, Большая Укнева, Маленькая Укнева; нива, к 
538; ;  
539; Поле; к, дер 
540; Яндомозеро, Погост; д 
541; Великой губе, Вигово;  
542; ;  
543; Яндомозера, Ушково; к 
544; ;  
545; Белозерском р-не, Шоле; р 
546; Маткозера;  
547; Восточная Усть-Яндома, Островов Сиг, ТК, ТК остров Гавгай, Острадний; д 
548; Усть-Яндома, Подщельга, Типиницы; к, д 
549; Чежгубе, Западная Усть-Яндома; д 
550; Поле;  
551; Западная Усть-Яндома; мыс, с, к 
552; Markutan, Trusamägi; дер 
553; ;  
554; Пахотная поляна, Кондобережской; к, дер 
555; Романостров;  
556; Сорочья Гора; дер 
557; Лесное; с, х 
558; Истомино; м, д 
559; Сенокосные угодья дер, Прокушево, Sur'oja; дер 
560; Калейгубе, Вигово; м 
561; Великая Губа, Великая Губа, Саньки; с, д, м 
562; Большая Сенатка; р 
563; Гладкая Нива;  
564; N'em; оз 
565; С/х поляна; х 
566; ;  
567; Лигачевская;  
568; Haadad;  
569; Бор, Есино;  
570; Pitkuoja;  
571; Ignatoja, Šalg'ögi;  
572; Прокушево, Корвалу, Чидово; дер 
573; Линдома;  
574; Тигверка;  
575; Виговской губе, Вигово, Вигово; м 
576; Ближней поляны, Дальней поляны, У Зародья, За дорогой, Ниже Дороги;  
577; ;  
578; Nin'mägi, Слобода; дер 
579; Луда; оз 
580; Перелесок;  
581; ;  
582; Сенокос, Виговской губы, Пижейручей, Тереба; к 
583; С/х поляна; х 
584; Иводе; р, у, оз 
585; Сондале;  
586; Болото; у, оз 
587; Обельщина; д 
588; Sar'jar'v;  
589; Калейгубском наволоке;  
590; Поляна, Погост, Яндомозеро; д 
591; Низина; с, дер 
592; Пондала, Иводу; дер, р 
593; ;  
594; Ахвенламби, Сельга; уроч 
595; Сидорова;  
596; Высокая гора, Войлахты; дер 
597; Болото; с, х 
598; Лидь, Лахта; р, дер 
599; Тамбицы, Пидасельгу;  
600; Redujär'v, Пелушской дороге; оз, дер 
601; ;  
602; Сорочья Гора;  
603; Луда, Яндомозере, Истомино; м, д 
604; Большая Сенатка, Slabat; дер, у 
605; Aksintanaz; дер, у, оз 
606; Ояти;  
607; Sagaž, Mustoja, Sepatg'är'v; дер, оз 
608; Поле;  
609; Чидово;  
610; Пустошка; дер 
611; Ручей, Сеппяваара, Сеппяваарское; дер, оз 
612; Залив;  
613; Лесное урочище;  
614; Покосы, Лимбозере; оз 
615; Горка, Истомино, Углевщина; дер 
616; Усть-Яндома, Усть-Яндомы, Сибово, Яндома, Сибово, Чежгубы; д, у, р, с 
617; Габнаволок, Тамбицы; м 
618; Типиницы;  
619; Hagoja;  
620; Вигово, Вигово, Великой Губе;  
621; Великой губе, Вигово; м 
622; Луда, Марковщина; м, д 
623; Типиницы, Усть-Яндому, Типиниц, Нурица;  
624; Ламба, Нинисельга; с, дер 
625; Sar'jar'v;  
626; Покосы, Сорочья Гора; дер 
627; Есино; з 
628; ;  
629; Sidroja;  
630; Селище; дер 
631; Великой губы, Калейгубы;  
632; Пондалы, Туржины;  
633; Юршичручья; дер, у 
634; Сибово;  
635; Варежский Мох, Косельги; у 
636; Ярбозера, Выласское, Васюково, Юршинская Гора; с 
637; Яндомозеро, Моста, Канавке; д, у, к 
638; Поляна, Подгора; м, к, д 
639; ;  
640; Пускусельга, Bojarit; дер 
641; Поле, Утицино; м, д 
642; Калинова; у 
643; Вигово; к 
644; Подщельгой;  
645; Усть-Яндома, Петров остров; м, к, д 
646; Бережной, Типиницы;  
647; Поле, Западная Усть-Яндома, Большого поля; д 
648; Губа, Корежье, Лейнаволоке;  
649; L'edo;  
650; Portomoja, Сташково Радогощенский с/с, Luuzikhaamez; дер, с 
651; Иводы, Septang'ögi; р, дер 
652; Määtjär'v, Pihlištso;  
653; Подовинники;  
654; ;  
655; Aksintanaz; дер 
656; Lumbahg'är'v; оз 
657; Тигвера;  
658; Тулосозеро; дер 
659; Ридсельга;  
660; Шолу; р 
661; Vaadimso;  
662; Прокушево; дер 
663; ;  
664; Mel'n'icoja;  
665; Лазнаволок;  
666; Oz'orkad;  
667; Пожня;  
668; Болото, Сидорово, Kul'jakmägi; к, дер, у 
669; Перелесок; дер 
670; Белая, Баброзеро, Лидь; дер 
671; Ивки, Сеппяваарское протокой, Niemenoja, Тулокса; с 
672; Muskedd'är'f, Маков;  
673; Сельскохозяйственная поляна;  
674; Natkant'e, Natk; р 
675; ;  
676; Яндомозера, Яндомозеро, Усть-Яндомы, Яндомозеро; у 
677; Тигвера; дер 
678; Большое болото; дер 
679; Пожня;  
680; Габнаволок; м 
681; ;  
682; Юстозера;  
683; Типиницы;  
684; Иводу; р 
685; Болото, Вигово, Маткозера; к 
686; Онежское озеро, Высокая Нива;  
687; Бережная; м, у 
688; Lahtoja;  
689; Тигверка, Тулосозеро;  
690; Типиницы, Типиницкую бухту, Бор;  
691; Березнаволок;  
692; Холмы; у, д 
693; Пустошкой; с 
694; Великой губы, Загубье; с 
695; Ламба; с 
696; Усть-Яндому; у 
697; Сенокос;  
698; Oleksien Puavilankodi; дер 
699; Кема, Погост, Великий Двор; дер, у 
700; Туржино; дер 
701; Обод;  
702; Яндомозера, Холмы, Типиницкий с/с, Лимбозера; с 
703; Юстозеро, Alan'edarvi, Alan'edarvi, Малая Семча, Семча, Юстозеро; с 
704; Усть-Яндому, Ушково, Волчерга; у 
705; Покос;  
706; Sur'oja;  
707; Pehkoja;  
708; Яндомозера, Липов ручей, Калозера, Корбозеро;  
709; ;  
710; Кибитка; м, к 
711; Вирино; дер 
712; Типиницы, Косельги, Половину, Садамгубу, моста Половина, Типиницы, Вороний Остров; с 
713; Иводы; р 
714; Тамбицы; у, м, к 
715; Каскосельга, Тамбицы;  
716; Вороний Остров;  
717; ;  
718; Пахотная полоса;  
719; Река, Крупень; оз, р 
720; Типиницы;  
721; Яндомозера;  
722; Оять;  
723; ;  
724; Яндомозера;  
725; Виговской губе, Вигово, Вигово, Кортнаволока; м 
726; Западная Усть-Яндома, Осиновец; д, о 
727; Сидорово; дер, к 
728; Бор, Утицино.За; д, с, х 
729; Kur'g, Pihär'jär'v; оз 
730; Brot, Иводе; р 
731; Ояти;  
732; Колпь; р, дер 
733; Калейгубе; м 
734; Озерко, Пустошка; у, дер 
735; Керацкое озеро;  
736; ;  
737; Иводе; р 
738; Поле;  
739; Саньки, Егорьевы Поляны, Андрешков Угол; у 
740; Rihaluine;  
741; Пертнаволок, Сухой наволок, Глубокого ручья; к 
742; ;  
743; Канаву, Яндомозеро; у 
744; Markutan, Шольской дороге, Kirikan Sava; дер 
745; Иводе, Hörm(; р, дер 
746; Сяргозера; оз, дер 
747; Болото, Аксеново, Nat'kg'är'v; дер, оз 
748; Типиницкой бухты; дер, у 
749; Šeliš;  
750; Онежском озере, Тамбицы; у 
751; Tišagj;  
752; Плавницкую губу, Вигово; с 
753; Горка, Сеппяваарское; оз 
754; Вороний Остров; с, х 
755; ;  
756; Сидоровского с/с, Сидорово, Лидь; с, р 
757; Усть-Яндома; к, д 
758; Иводе; р 
759; Tutuhgär'v, Сташково Радогощенский с/с; оз, дер, с 
760; Stupou, Ступово;  
761; Aksintanaz; дер 
762; Rihaluine;  
763; ;  
764; Вороний Остров, Бережным, Мельничным;  
765; Великой Губы, Сибово, Девьими островами; у, с 
766; Кибитка;  
767; Покос;  
768; Сидорово, Белое Озеро; дер 
769; Лесное урочище; с 
770; Типиницы, Вороньего Острова;  
771; Омут, Панкратово; оз, дер 
772; Ояти;  
773; Саньки, Яндомозера, Южная поляна; д, м 
774; Поляны, Сибово, Сибово; д 
775; Шолы, Sagaž, Slabat; дер 
776; Великая Сельга;  
777; Ламба;  
778; Великой губы, Калейгубы, Сибово; берег 
779; Вороний Остров, Бабнаволок, Ключевская Дорога;  
780; ;  
781; Кема, Нюкша, Кема, Мирный; оз, пос 
782; Kodar'v; у, оз 
783; Иводы, Pondag'ögi; р, оз 
784; Нинисельгское; оз 
785; ;  
786; Тигвера; дер 
787; Сибово; к 
788; Поле; у 
789; Габнаволок;  
790; Марковщины, Клюхино, Бабий Наволок; к, мыс 
791; Кибитка, Полей;  
792; Усть-Яндому, Ушковской губы, Ушково; у, с, к 
793; Вороний Остров, Баранова Наволока;  
794; Сибово, Суйнаволоком, Габнаволоком; к 
795; Маланьевщиной, Мягкую Сельгу; у 
796; Яндомозеро, Родиваново, Раньково; д 
797; Виговской губы; бол 
798; Иводы; р, дер 
799; Habišt;  
800; Луда, Усть-Яндома; д 
801; Киндаево; дер 
802; Päčn'em';  
803; Пондалы, Pondag'ögi; р 
804; Типиницы, Вороний Остров; м 
805; Сарозеро, Озера;  
806; ;  
807; Толлореки; к 
808; Лесное урочище;  
809; Поле;  
810; Пахотная полоса;  
811; Сарозеро, Pehkoja;  
812; Типиницы, Типиницкой бухты; м, к 
813; Берег озера; у 
814; Великой губе, Сибово, Полнаволока; м, к, у 
815; Омут; р 
816; Типиницы, Усть-Яндому, Нурица, Типиниц; с 
817; Горка;  
818; Типиницы;  
819; Усть-Яндома; м, к, д 
820; ;  
821; Hebojär'v; у, оз 
822; Пахотная полоса;  
823; С/Х угодье дер, Баброзеро Радогощенский с/с; дер, с 
824; ;  
825; Пустошка, Vaugedd'är'f; дер, оз 
826; Губа, Сибово, Красного поля; к 
827; Высокая гора;  
828; Болото; оз 
829; Пелушскому озеру, Лидь, Nikanor; к, р, у 
830; Ярбозеро; с 
831; Ивки, Ивки, Тигверского с/с; оз, з, с, дер 
832; Холмы; д 
833; Pondag'ögi; р 
834; ;  
835; Местечко, Сидорово, Kodoja; дер, у 
836; Усть-Яндома, Онежского озера; к, д 
837; Линдома;  
838; ;  
839; Горка;  
840; Сибово, Сибово, Южным, Северным Корытостровами;  
841; Pal'miko;  
842; Барановщине, Кривой Пенге;  
843; Ropal'jogi, Habišt; р 
844; ;  
845; Säjägär', Korvoil, Корвалы; дер 
846; Кузарандой; с 
847; Ковжа, Кустозеро, Мельничного моста; р, оз, у 
848; Habišt;  
849; ;  
850; Койвусельга; дер 
851; Погост, Яндомозеро; д 
852; Койгуба, Кадбгуба;  
853; Корбозера;  
854; Яндомозеро; д 
855; Aksintanaz; дер 
856; Ропля; р 
857; Перелесок, Белому Озеру; дер, к 
858; Линдома;  
859; ;  
860; Летнее; к 
861; Шильё;  
862; Сарозеро;  
863; Сибово, Липовицы;  
864; Корытово; дер 
865; Поля, Полевское, Межозерское;  
866; Лидь, Mišukanoja;  
867; Усть-Яндома; к, д 
868; Вороний Остров; д 
869; Поляна;  
870; Кибитка;  
871; Куя;  
872; Онежское озера, Типиницы, Вороний Остров; дер 
873; Озеро, Кемское, Пичемский ручей, Янсора; с 
874; Сибово, Кондобережской; к, у 
875; Тамбицы; м 
876; Ладва;  
877; Turžin; дер 
878; Сондалручья, Vougedjärv;  
879; Сидорово; дер 
880; Sidorovoidemelnic;  
881; Kivijär'v, Oks'jär'v; оз 
882; Малая Тамбица, Тамбицы, Локречка; м, с 
883; Поле, Есино, Яндомозера; д 
884; Лесное урочище;  
885; Мост через р. Лидь; р 
886; Бабнаволоке; к 
887; Semoi; у 
888; Есино; з 
889; Озерко;  
